Team,OVR_Rating,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Defense_Rating,Left Side,Middle of the pitch,Right Side,Own Third,Middle Third,Opposition Third,League,Season
Werder Bremen,6.79,15.4,17.5,20.8,14.0,1.7,6.79,0.38,0.24,0.38,0.28,0.48,0.23,Bundesliga,2016
Hertha Berlin,6.75,12.7,18.4,19.6,14.2,1.6,6.75,0.32,0.29,0.38,0.27,0.49,0.23,Bundesliga,2016
Wolfsburg,6.73,13.1,17.5,20.2,15.1,1.7,6.73,0.36,0.26,0.38,0.26,0.47,0.26,Bundesliga,2016
Eintracht Frankfurt,6.73,10.1,16.5,24.4,15.8,1.9,6.73,0.38,0.26,0.36,0.24,0.49,0.27,Bundesliga,2016
Augsburg,6.72,13.8,20.0,23.3,14.6,1.9,6.72,0.36,0.25,0.39,0.28,0.49,0.24,Bundesliga,2016
Mainz 05,6.7,12.5,18.3,22.9,14.5,3.0,6.7,0.38,0.26,0.35,0.27,0.44,0.29,Bundesliga,2016
Ingolstadt,6.69,12.1,19.1,21.2,16.3,2.2,6.69,0.33,0.25,0.41,0.24,0.43,0.32,Bundesliga,2016
Freiburg,6.68,14.7,18.2,16.6,13.1,1.7,6.68,0.35,0.31,0.34,0.29,0.46,0.26,Bundesliga,2016
Hamburger SV,6.67,12.9,21.8,21.3,16.6,2.3,6.67,0.41,0.27,0.32,0.26,0.46,0.28,Bundesliga,2016
Darmstadt,6.58,16.0,20.1,20.0,15.1,2.4,6.58,0.34,0.26,0.39,0.3,0.46,0.25,Bundesliga,2016
Bayern Munich,7.13,8.5,17.9,10.4,10.8,2.0,7.13,0.35,0.31,0.34,0.23,0.46,0.33,Bundesliga,2017
Schalke 04,6.88,11.1,21.2,14.6,16.1,2.4,6.88,0.37,0.25,0.38,0.25,0.49,0.26,Bundesliga,2017
Borussia Dortmund,6.87,10.8,20.4,9.9,11.9,2.4,6.87,0.37,0.28,0.35,0.24,0.47,0.29,Bundesliga,2017
Bayer Leverkusen,6.84,10.3,19.0,11.5,13.3,1.7,6.84,0.33,0.24,0.43,0.24,0.48,0.28,Bundesliga,2017
RB Leipzig,6.84,11.3,20.5,11.7,13.3,2.6,6.84,0.36,0.27,0.37,0.24,0.48,0.28,Bundesliga,2017
Hoffenheim,6.82,12.7,20.2,10.1,14.9,2.3,6.82,0.38,0.31,0.31,0.29,0.46,0.26,Bundesliga,2017
Borussia M.Gladbach,6.77,14.9,19.9,11.3,11.7,2.1,6.77,0.32,0.26,0.42,0.27,0.47,0.25,Bundesliga,2017
VfB Stuttgart,6.75,13.0,20.5,12.2,13.6,2.1,6.75,0.34,0.29,0.37,0.27,0.47,0.26,Bundesliga,2017
Eintracht Frankfurt,6.75,11.7,18.3,12.0,15.5,2.5,6.75,0.37,0.28,0.35,0.25,0.48,0.27,Bundesliga,2017
Augsburg,6.75,13.8,21.3,11.8,14.4,2.1,6.75,0.37,0.27,0.36,0.29,0.45,0.26,Bundesliga,2017
Hertha Berlin,6.74,12.9,19.3,11.4,14.5,1.4,6.74,0.33,0.26,0.41,0.27,0.49,0.23,Bundesliga,2017
Hannover 96,6.73,14.6,19.6,11.2,14.3,1.6,6.73,0.34,0.28,0.38,0.29,0.45,0.24,Bundesliga,2017
Werder Bremen,6.71,12.4,17.6,12.4,15.4,2.0,6.71,0.38,0.23,0.39,0.26,0.48,0.26,Bundesliga,2017
